Player David is at position 2, portal value: 0
Player Kim is at position 4, portal value: 0
Player Trillian is at position 3, portal value: 0
Player Rosie is at position 3, portal value: 0
Player David is at position 7, portal value: 0
Player Kim is at position 8, portal value: 0
Player Trillian is at position 8, portal value: 0
Player Rosie is at position 7, portal value: 0
Player David is at position 10, portal value: 0
Player Kim is at position 13, portal value: 0
Player Trillian is at position 11, portal value: 0
Player Rosie is at position 12, portal value: 0
Player David is at position 11, portal value: 0
Player Kim is at position 18, portal value: 0
Player Trillian is at position 14, portal value: 0
Player Rosie is at position 13, portal value: 0
Player David is at position 13, portal value: 0
Player Kim is at position 21, portal value: 0
Player Trillian is at position 38, portal value: 30
Player Rosie is at position 17, portal value: 0
Player David is at position 14, portal value: 0
Player Kim is at position 36, portal value: 0
Player Trillian is at position 58, portal value: 0
Player Rosie is at position 20, portal value: 0
Player David is at position 15, portal value: 0
Player Kim is at position 40, portal value: 0
Player Trillian is at position 63, portal value: 0
Player Rosie is at position 23, portal value: 0
Player David is at position 18, portal value: 0
Player Kim is at position 45, portal value: 0
Player Trillian is at position 66, portal value: 0
Player Rosie is at position 28, portal value: 0
Player David is at position 29, portal value: 0
Player Kim is at position 46, portal value: 0
Player Trillian is at position 68, portal value: 0
Player Rosie is at position 32, portal value: 0
Player David is at position 34, portal value: 0
Player Kim is at position 49, portal value: 0
Player Trillian is at position 61, portal value: -2
Player Rosie is at position 33, portal value: 0
Player David is at position 32, portal value: 0
Player Kim is at position 51, portal value: 0
Player Trillian is at position 63, portal value: 0
Player Rosie is at position 36, portal value: 0
Player David is at position 36, portal value: 0
Player Kim is at position 47, portal value: 0
Player Trillian is at position 66, portal value: 0
Player Rosie is at position 39, portal value: 0
Player David is at position 37, portal value: 0
Player Kim is at position 49, portal value: 0
Player Trillian is at position 69, portal value: 0
Player Rosie is at position 40, portal value: 0
Player David is at position 54, portal value: 6
Player Kim is at position 47, portal value: 0
Player Trillian is at position 61, portal value: -2
Player Rosie is at position 58, portal value: 0
Player David is at position 69, portal value: 0
Player Kim is at position 52, portal value: 0
Player Trillian is at position 63, portal value: 0
Player Rosie is at position 63, portal value: 0
Player David is at position 61, portal value: -2
Player Kim is at position 64, portal value: 0
Player Trillian is at position 67, portal value: 0
Player Rosie is at position 66, portal value: 0
Player David is at position 62, portal value: 0
Player Kim is at position 69, portal value: 0
Player Trillian is at position 69, portal value: 0
Player Rosie is at position 67, portal value: 0
Player David is at position 64, portal value: 0
Player Kim is at position 76, portal value: 7
Player Trillian is at position 71, portal value: 0
Player Rosie is at position 69, portal value: 0
Player David is at position 67, portal value: 0
Player Kim is at position 77, portal value: 0
Player Trillian is at position 76, portal value: 7
Player Rosie is at position 65, portal value: 0
Player David is at position 69, portal value: 0
Player Kim is at position 80, portal value: 0
Player Trillian is at position 78, portal value: 0
Player Rosie is at position 67, portal value: 0
Player David is at position 67, portal value: 0
Player Kim is at position 84, portal value: 0
Player Trillian is at position 79, portal value: 0
Player Rosie is at position 71, portal value: 0
Player David is at position 71, portal value: 0
Player Kim is at position 85, portal value: 0
Player Trillian is at position 80, portal value: 0
Player Rosie is at position 61, portal value: -2
Player David is at position 76, portal value: 7
Player Kim is at position 88, portal value: 0
Player Trillian is at position 82, portal value: 0
Player Rosie is at position 65, portal value: 0
Player David is at position 77, portal value: 0
Player Kim is at position 92, portal value: 0
Player Trillian is at position 87, portal value: -20
Player Rosie is at position 68, portal value: 0
Player David is at position 82, portal value: 0
Player Kim is at position 96, portal value: 0
Player Trillian is at position 92, portal value: 0
Player Rosie is at position 71, portal value: 0
Player David is at position 84, portal value: 0
Player Kim is at position 97, portal value: 0
Player Trillian is at position 96, portal value: 0
Player Rosie is at position 61, portal value: -2
Player David is at position 88, portal value: 0
Player Kim is at position 101, portal value: 0
Player Trillian is at position 97, portal value: 0
Player Rosie is at position 64, portal value: 0
Player David is at position 90, portal value: 0
Player Kim wins!!!!!
